TRIP_ID,VEHICLE_ID
6c1e1d6a-da7f-5ed0-b2c1-645f65c2dcce,548-915
111d221e-96b1-5768-90fb-e34617afe175,730-550
3160702a-d43e-504f-a6e5-4f7abce38881,680-801
36e0d1a3-b1c7-558a-945f-6043d811aefc,579-009
ce8ecf99-52c5-5c18-835d-247f14e3655e,712-827
9ab78a5c-8e35-5d34-a24a-92c0489672f4,109-319
4b33a229-423f-5943-8df7-65ad6313c571,397-304
464c8960-a0e3-51da-bf7b-2171f159a42c,810-126
9a893188-9473-5997-9f4b-1b32982bc9dc,636-520
0b0d0989-86ec-5255-8f16-13874b5b4428,579-009
80b82e54-db93-5a89-a573-548f6159dc79,806-762
8b9a2d17-24ba-51d6-98a7-eaef3eb4773e,989-218
7b7169f6-ecfe-50fc-9aaa-759a5f2c3e4e,479-036
bfb65574-2974-5bc6-a300-189be7942300,354-400
47fa47c1-f94b-547c-b77b-346f6d324bea,989-218
c6694b85-fa48-54ba-a9dd-f0044833716d,129-257
91ab974a-50d1-57cb-9674-c5564db6b066,898-820
cdcba828-62d4-5f87-b715-5241dcfd711b,778-967
5f6f1d44-3419-5cbb-a3c7-d79c565dfebe,579-009
6d41f35e-a81f-5c23-b315-b767edb534b7,452-931
49e26e00-87a0-5652-991a-da01ec414798,270-513
baf000df-b97e-5a9b-acfb-3c66b2de3bff,781-999
cec3bb29-175d-574c-9f57-d4c14b7a293a,806-762
2c072356-fe0d-5c88-a98e-07cfde93624f,367-394
eb7a7ebd-ce91-51fa-9030-c118d6320729,098-628
b6e25142-f34f-5a89-9fe1-f36f082807b5,730-550
4f134a23-d36c-53df-988b-25be6b2ecbb2,579-009
ef661c28-3129-5bec-8520-215ffd1d6c9f,345-239
71d35c35-aea9-54b6-9473-38a1bcba5a4c,548-915
aece30e9-0f02-592c-8820-2f4f1e6971af,579-009
42756fe7-ce58-5f2f-9b46-717af878edf6,294-979
00f18919-5ad2-51fc-a76b-fd956801fcd9,129-257
24d22ceb-b95f-5a76-bf66-008c19df1d9c,548-915
