TRIP_ID,VEHICLE_ID
0100a6de-399b-4254-b56d-c9dba1f296a8,D11891
3882fde8-aefc-47a3-ba5a-e1dc39421f48,D12082
b465af1a-8848-47d6-91af-add037b24034,D00736
f3a3ce2f-6473-4aa6-9de4-6dcd3de750d0,D02639
5895b027-5aec-4d92-aa52-ce4a8faa38b0,Z9CZ2G
c43a81bb-a680-4c06-82f1-535dacf5522c,D02182
ca1d9ef0-54fd-4675-a715-93f237408a24,D18810
16acbb51-038a-4289-9cac-2605d99de718,MNWYHJ
0513500e-b461-43a6-b60a-bf352a6e3aa4,D15157
93c1b76b-3221-499b-ac9d-14ed8896955c,HH6H1V
50e261eb-bd5a-425d-9b20-cf5d14089d20,D16708
6fd9b466-129d-4c8d-98a1-64ecdcd73c50,D00852
6d263735-49f6-423d-b366-8d344dbbb4c4,4TZAN9
63304b05-dab0-4335-8d6d-041fbdf135f4,D03536
0ad9aa7b-aa01-444c-9e26-5e81e257a4f4,D16620
f7a55443-2640-4457-8f6a-6a74d70453c8,TMJJ4M
4c55cc60-a144-46e0-b02d-76a99721dd90,D12851
62e537ac-e6a5-43fa-b673-c14f0b286280,D03538
a077367c-7d81-4a70-b78a-5b0878fedf8c,D12366
a506334f-340d-4a69-93ad-c21eb91b33d8,D00093
5c2d81e2-4381-472c-9af3-579d5a59a7ec,D12328
afc05aa1-b1e5-41bd-96e6-e7ec091bd01c,D15562
98a8adcc-41f8-40bd-86ca-c02b4d7f2b3c,D00527
ae3a5ba6-9a66-4e15-a912-f8386df988ac,D16746
853aadc1-a025-46e7-bc74-545eb34b72d4,D00742
02f7901d-6396-4382-86af-1af4624b86c4,D14031
92d44de6-34df-4598-86da-c26a2fdb5f5c,D16723
dec1f196-3aaf-4037-9733-2f2d93caa93c,D00085
9f4b9f7b-9323-42fa-a882-9674453b8f1c,D12233
bc58aa4a-8e7b-4ccf-a809-70ca9331477c,D11258
3cc76973-b3e1-4bc2-bd83-b5904a6325a0,D12546
6fa7b1a1-fc9e-4913-b0f0-882f75cb3b30,D00299
22d84763-6291-4066-b0cc-eca8510becc4,D15157
a76ce6c0-58c0-471c-bcc3-30dd49f53070,D12242
6518d354-6add-4380-87ab-05380dd6fc4c,D13430
526cf266-56b9-4554-8fc3-7f13aed83c80,D13781
35dc1e6a-d357-482a-95f7-a61ccd3c619c,853TM5
6819fccc-edc8-4c9e-b86e-3764834af4d8,D15112
815ddd31-c1ed-4637-8189-e2a2f5bd1f98,D18645
5cdf2a1d-0c9c-44cf-8585-d9276dff740c,C8QZB1
